Estación,Longitud,Latitud,Cluster
431,-99.15822,19.36145,8
432,-99.162581,19.361296,8
433,-99.170819,19.363558,4
434,-99.171498,19.363776,4
435,-99.172906,19.365154,4
436,-99.177819,19.366217,4
437,-99.17602222,19.36480833,4
438,-99.17458333,19.36479722,4
439,-99.17246667,19.36218889,4
440,-99.168669,19.36065,8
441,-99.167527,19.361215,8
442,-99.1653,19.359905,8
443,-99.162025,19.359655,8
444,-99.159425,19.359384,8
445,-99.156105,19.35827,8
446,-99.1561282,19.3591196,8
447,-99.176776,19.418858,3
448,-99.14447,19.426611,7
449,-99.174393,19.42018,3
450,-99.152226,19.43836,5
451,-99.201322,19.42902,10
452,-99.179838,19.435031,2
