Estación,Longitud,Latitud,Cluster
547,-99.16822951,19.42737984,3
548,-99.17001663,19.42652281,3
549,-99.16795365,19.4272829,3
550,-99.16637664,19.42688952,3
551,-99.16730725,19.4282471,3
552,-99.16375384,19.4276421,3
553,-99.16640344,19.42780533,3
554,-99.16422986,19.42794747,3
555,-99.16759898,19.42816139,3
556,-99.1632809,19.42850539,3
557,-99.16339283,19.42757972,3
558,-99.16553235,19.42814372,3
559,-99.16742382,19.42803348,3
560,-99.16519187,19.42810066,3
561,-99.16671235,19.42838461,3
562,-99.16236566,19.42894709,3
563,-99.16191227,19.42881676,3
564,-99.16430523,19.42933717,3
565,-99.16129987,19.42902836,3
566,-99.16395686,19.42925279,3
567,-99.1622006,19.42902243,3
568,-99.16204425,19.42905957,3
569,-99.16135596,19.42891523,3
570,-99.16197328,19.42963221,3
571,-99.16031054,19.42981821,3
572,-99.16295686,19.42967382,3
573,-99.16193453,19.42977635,3
574,-99.16367347,19.43018187,3
575,-99.16107024,19.42966771,3
576,-99.16248129,19.43009347,3
577,-99.16360465,19.42962328,3
578,-99.16009837,19.42956067,3
579,-99.16334223,19.42984772,3
580,-99.1599775,19.42950875,3
581,-99.15816622,19.43130387,3
582,-99.15892564,19.43171942,3
583,-99.15588075,19.43194995,3
584,-99.15614127,19.43199681,3
585,-99.15962181,19.43111022,3
586,-99.15652672,19.43163617,3
587,-99.1572065,19.43171125,3
588,-99.15629284,19.43223204,3
589,-99.15446549,19.43287789,3
590,-99.15627344,19.43252869,3
591,-99.15513527,19.43276414,3
592,-99.15548685,19.432843,3
593,-99.15825642,19.4326748,3
594,-99.15797531,19.43269274,3
595,-99.16942416,19.42493274,3
596,-99.17361951,19.42462962,3
597,-99.17172966,19.4252358,3
598,-99.17220039,19.42451123,3
599,-99.1704132,19.42440041,3
600,-99.17356892,19.42452796,3
601,-99.1723463,19.42446684,3
602,-99.17162571,19.42434145,3
603,-99.16670452,19.42551979,3
604,-99.16689943,19.42616001,3
605,-99.17083281,19.42542066,3
606,-99.17009503,19.42612567,3
607,-99.17092578,19.42603942,3
608,-99.17102861,19.4263694,3
609,-99.17098948,19.42588587,3
610,-99.16754215,19.42582665,3
611,-99.16674147,19.42573665,3
612,-99.17018327,19.42603434,3
613,-99.16679467,19.42573475,3
614,-99.16862298,19.42727163,3
615,-99.16622928,19.42725045,3
616,-99.16467251,19.42738571,3
617,-99.16490419,19.42730243,3
618,-99.16446315,19.42703996,3
619,-99.16651884,19.42661896,3
620,-99.16831639,19.42658607,3
621,-99.16853399,19.42699768,3
622,-99.1656455,19.42740393,3
623,-99.16540929,19.42667737,3
624,-99.16446655,19.4268735,3
625,-99.16550475,19.42797829,3
